Date,sitename,Year,GCC,RCC,NDVI,NIRv
10/05/2017,Main,2017,0.360446984,0.41438007,0.64629667,0.055561003
11/05/2017,Main,2017,0.362977596,0.41467846,0.691671506,0.061472996
12/05/2017,Main,2017,0.361937329,0.396445027,0.599804274,0.051830871
13/05/2017,Main,2017,0.363120227,0.396997632,0.667032427,0.056926138
14/05/2017,Main,2017,0.362817462,0.399904494,0.686433379,0.059017753
15/05/2017,Main,2017,0.362817462,0.397630192,0.688273167,0.059275676
16/05/2017,Main,2017,0.362275506,0.400058367,0.811297113,0.073790136
17/05/2017,Main,2017,0.361929454,0.394510911,0.713194781,0.061565383
18/05/2017,Main,2017,0.361807737,0.392318435,0.778791604,0.067407368
19/05/2017,Main,2017,0.360317873,0.388603424,0.636924731,0.054829516
20/05/2017,Main,2017,0.360317873,0.391945056,0.639480621,0.055088361
21/05/2017,Main,2017,0.360861263,0.398954358,0.654818804,0.056582627
22/05/2017,Main,2017,0.361417126,0.398954358,0.654818804,0.056582627
23/05/2017,Main,2017,0.361455161,0.395395249,0.65138669,0.056302957
24/05/2017,Main,2017,0.361472213,0.394755008,0.644726304,0.055690115
25/05/2017,Main,2017,0.361924798,0.402906292,0.620034345,0.053161943
26/05/2017,Main,2017,0.361924798,0.403255603,0.627010468,0.053849492
27/05/2017,Main,2017,0.361840439,0.405142298,0.616693903,0.052813181
28/05/2017,Main,2017,0.361782935,0.404378101,0.646339881,0.055910814
29/05/2017,Main,2017,0.361782935,0.403324187,0.628225922,0.053996395
30/05/2017,Main,2017,0.36175176,0.400337049,0.626109423,0.053702002
31/05/2017,Main,2017,0.36181444,0.398324967,0.625004078,0.053604129
01/06/2017,Main,2017,0.361826781,0.409213316,0.625367758,0.05363841
02/06/2017,Main,2017,0.361847571,0.409277938,0.6500595,0.056385637
03/06/2017,Main,2017,0.361397194,0.411230754,0.686550288,0.059847326
04/06/2017,Main,2017,0.361587884,0.404951233,0.646902154,0.055763052
05/06/2017,Main,2017,0.361645452,0.397797259,0.634128352,0.05454145
06/06/2017,Main,2017,0.362087265,0.397926093,0.640798958,0.055206656
07/06/2017,Main,2017,0.362087265,0.405831419,0.640798958,0.055206656
08/06/2017,Main,2017,0.362034269,0.405831419,0.638474716,0.055005001
09/06/2017,Main,2017,0.362040773,0.405831419,0.623568377,0.053457173
10/06/2017,Main,2017,0.362165933,0.403729496,0.623568377,0.053457173
11/06/2017,Main,2017,0.36266968,0.404917748,0.631638894,0.054261136
12/06/2017,Main,2017,0.362773519,0.408289914,0.622331031,0.053315463
13/06/2017,Main,2017,0.362786616,0.412437068,0.61777858,0.05287922
14/06/2017,Main,2017,0.362642709,0.414829977,0.594407141,0.050860497
