Date,sitename,Year,GCC,RCC,NDVI,NIRv
16/04/2017,Main,2017,0.352029299,0.443297772,0.629576679,0.054317176
17/04/2017,Main,2017,0.350962062,0.45021573,0.545347641,0.043422571
18/04/2017,Main,2017,0.348118682,0.453592136,0.498737621,0.037348906
19/04/2017,Main,2017,0.347815354,0.453994224,0.546702154,0.045578301
20/04/2017,Main,2017,0.347768695,0.450086208,0.543095257,0.045154519
21/04/2017,Main,2017,0.347735997,0.449939912,0.527110756,0.043010697
22/04/2017,Main,2017,0.345769525,0.453382447,0.48190227,0.034195234
23/04/2017,Main,2017,0.343803054,0.45701447,0.490664899,0.034500834
24/04/2017,Main,2017,0.341836583,0.46093031,0.494740472,0.03697483
25/04/2017,Main,2017,0.341859932,0.461221567,0.535300028,0.040764858
26/04/2017,Main,2017,0.341883282,0.460742629,0.547969714,0.04087294
27/04/2017,Main,2017,0.341906631,0.455848423,0.536646456,0.040172139
28/04/2017,Main,2017,0.34192998,0.460022543,0.485008996,0.038644433
29/04/2017,Main,2017,0.34195333,0.463581894,0.500249453,0.039554172
30/04/2017,Main,2017,0.341976679,0.462404723,0.542293971,0.045902456
01/05/2017,Main,2017,0.342000029,0.459281927,0.562995202,0.048502499
02/05/2017,Main,2017,0.342023378,0.452401398,0.484186768,0.038830257
03/05/2017,Main,2017,0.342046728,0.455391618,0.552688758,0.043442342
04/05/2017,Main,2017,0.342070077,0.458100059,0.610447696,0.050647938
05/05/2017,Main,2017,0.344594511,0.458100059,0.598599026,0.049369823
06/05/2017,Main,2017,0.344594511,0.448759184,0.535879315,0.044586681
07/05/2017,Main,2017,0.344364684,0.4479388,0.477526816,0.038640725
08/05/2017,Main,2017,0.343807801,0.449591412,0.490060607,0.035722373
09/05/2017,Main,2017,0.344808958,0.450430116,0.493251541,0.03825164
10/05/2017,Main,2017,0.35058107,0.45054405,0.511446406,0.042474309
11/05/2017,Main,2017,0.354836768,0.449858903,0.607652902,0.053490914
12/05/2017,Main,2017,0.354825389,0.446271772,0.596825617,0.053143958
13/05/2017,Main,2017,0.354734359,0.445391906,0.530451355,0.047765549
14/05/2017,Main,2017,0.353790978,0.438526814,0.517911443,0.041475182
15/05/2017,Main,2017,0.350094549,0.439089193,0.517911443,0.041324499
16/05/2017,Main,2017,0.350071714,0.441860105,0.50105873,0.039461044
17/05/2017,Main,2017,0.348682389,0.441860105,0.484206017,0.03759759
18/05/2017,Main,2017,0.34781856,0.440819783,0.501309819,0.039927822
19/05/2017,Main,2017,0.34571106,0.439779461,0.473123383,0.037883297
20/05/2017,Main,2017,0.348390024,0.438739139,0.484855513,0.042289679
21/05/2017,Main,2017,0.348390024,0.440987232,0.488407595,0.042065289
22/05/2017,Main,2017,0.348390024,0.440987232,0.488407595,0.042065289
23/05/2017,Main,2017,0.345904867,0.439749863,0.488390083,0.036559372
24/05/2017,Main,2017,0.345110057,0.438523493,0.488390083,0.037238813
25/05/2017,Main,2017,0.344706339,0.443916764,0.473756856,0.03414681
26/05/2017,Main,2017,0.344566059,0.448133128,0.441151959,0.034144427
27/05/2017,Main,2017,0.34472087,0.448893205,0.422185202,0.033620058
28/05/2017,Main,2017,0.342760398,0.44802738,0.42456309,0.035207901
29/05/2017,Main,2017,0.339415064,0.444517348,0.364137657,0.026494869
30/05/2017,Main,2017,0.339017545,0.444967304,0.352894335,0.024495685
31/05/2017,Main,2017,0.337822302,0.44605271,0.345998504,0.02492795
01/06/2017,Main,2017,0.335880376,0.452483619,0.348183264,0.03116636
